"filename", "language", "Dart", "comment", "blank", "total"
"d:\programming\github\clone-gg-app\lib\main.dart", "Dart", 38, 7, 14, 59
"d:\programming\github\clone-gg-app\lib\src\Utility\formatter.dart", "Dart", 63, 2, 7, 72
"d:\programming\github\clone-gg-app\lib\src\core\database\database_helper.dart", "Dart", 203, 15, 28, 246
"d:\programming\github\clone-gg-app\lib\src\core\network\api_service.dart", "Dart", 55, 57, 12, 124
"d:\programming\github\clone-gg-app\lib\src\core\network\server_service.dart", "Dart", 39, 1, 11, 51
"d:\programming\github\clone-gg-app\lib\src\core\router\app_router.dart", "Dart", 59, 0, 2, 61
"d:\programming\github\clone-gg-app\lib\src\core\services\api_database_service.dart", "Dart", 1838, 133, 255, 2226
"d:\programming\github\clone-gg-app\lib\src\core\services\api_exceptions.dart", "Dart", 37, 1, 12, 50
"d:\programming\github\clone-gg-app\lib\src\core\services\data_sync_service.dart", "Dart", 840, 96, 138, 1074
"d:\programming\github\clone-gg-app\lib\src\core\services\service_locator.dart", "Dart", 67, 63, 10, 140
"d:\programming\github\clone-gg-app\lib\src\core\services\shared_preferences_service.dart", "Dart", 105, 22, 26, 153
"d:\programming\github\clone-gg-app\lib\src\core\services\soap_api_service.dart", "Dart", 897, 38, 95, 1030
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\business_region.dart", "Dart", 52, 0, 7, 59
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\client_contract.dart", "Dart", 148, 0, 7, 155
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\kpi_data.dart", "Dart", 111, 0, 7, 118
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\price_type.dart", "Dart", 66, 1, 9, 76
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\product_balance.dart", "Dart", 139, 0, 7, 146
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\product_brand.dart", "Dart", 46, 0, 7, 53
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\product_data.dart", "Dart", 146, 0, 7, 153
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\product_price.dart", "Dart", 84, 1, 9, 94
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\product_series.dart", "Dart", 52, 0, 7, 59
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\product_with_price.dart", "Dart", 174, 0, 7, 181
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\trading_point.dart", "Dart", 178, 0, 7, 185
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\models\user_warehouse.dart", "Dart", 58, 0, 7, 65
"d:\programming\github\clone-gg-app\lib\src\features\agent\data\repositories\agent_repository.dart", "Dart", 242, 30, 28, 300
