"filename", "language", "Dart", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_en.arb", "JSON", 0, 402, 0, 0, 0, 402
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations.dart", "Dart", 403, 0, 0, 1472, 370, 2245
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_en.dart", "Dart", 709, 0, 0, 3, 355, 1067
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_ru.dart", "Dart", 709, 0, 0, 3, 355, 1067
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_uz.dart", "Dart", 709, 0, 0, 3, 355, 1067
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_ru.arb", "JSON", 0, 402, 0, 0, 0, 402
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_uz.arb", "JSON", 0, 402, 0, 0, 0, 402
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\main.dart", "Dart", 50, 0, 0, 8, 6, 64
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\database\database_helper.dart", "Dart", 8, 0, 0, 1, 0, 9
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\README.md", "Markdown", 0, 0, 415, 0, 86, 501
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\examples\map_examples.dart", "Dart", 618, 0, 0, 26, 50, 694
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\location_manager.dart", "Dart", 524, 0, 0, 38, 92, 654
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\marker_manager.dart", "Dart", 463, 0, 0, 49, 76, 588
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\route_manager.dart", "Dart", 451, 0, 0, 53, 81, 585
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_marker.dart", "Dart", 163, 0, 0, 13, 20, 196
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_point.dart", "Dart", 109, 0, 0, 15, 19, 143
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_route.dart", "Dart", 150, 0, 0, 12, 23, 185
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_settings.dart", "Dart", 236, 0, 0, 10, 14, 260
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\map_cache_service.dart", "Dart", 545, 0, 0, 43, 99, 687
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\map_service.dart", "Dart", 1542, 0, 0, 167, 215, 1924
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\route_service.dart", "Dart", 346, 0, 0, 50, 81, 477
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\widgets\map_widget.dart", "Dart", 554, 0, 0, 30, 61, 645
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\server_service.dart", "Dart", 3, 0, 0, 2, 1, 6
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\providers\locale_provider.dart", "Dart", 46, 0, 0, 9, 11, 66
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\router\app_router.dart", "Dart", 12, 0, 0, 1, 0, 13
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_database_service.dart", "Dart", 1622, 0, 0, 139, 235, 1996
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\daily_report_template.dart", "Dart", 78, 0, 0, 2, 10, 90
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\data_sync_service.dart", "Dart", 542, 0, 0, 80, 104, 726
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\location_service.dart", "Dart", 214, 0, 0, 28, 39, 281
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\permission_manager.dart", "Dart", 204, 0, 0, 17, 26, 247
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\permissions_service.dart", "Dart", 102, 0, 0, 9, 15, 126
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\report_data_service.dart", "Dart", 138, 0, 0, 21, 30, 189
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\reports_sync_service.dart", "Dart", 339, 0, 0, 31, 57, 427
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\service_locator.dart", "Dart", 39, 0, 0, 0, 0, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\shared_preferences_service.dart", "Dart", 80, 0, 0, 12, 11, 103
