"filename", "language", "Dart", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_en.arb", "JSON", 0, 0, 449, 0, 0, 449
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations.dart", "Dart", 448, 0, 0, 1652, 415, 2515
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_en.dart", "Dart", 799, 0, 0, 3, 400, 1202
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_ru.dart", "Dart", 799, 0, 0, 3, 400, 1202
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_uz.dart", "Dart", 799, 0, 0, 3, 400, 1202
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_ru.arb", "JSON", 0, 0, 449, 0, 0, 449
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_uz.arb", "JSON", 0, 0, 449, 0, 0, 449
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\main.dart", "Dart", 151, 0, 0, 25, 30, 206
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\Utility\formatter.dart", "Dart", 63, 0, 0, 2, 7, 72
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\database\database_helper.dart", "Dart", 224, 0, 0, 17, 29, 270
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\README.md", "Markdown", 0, 415, 0, 0, 86, 501
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\controllers\unified_map_controller.dart", "Dart", 390, 0, 0, 94, 64, 548
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\examples\map_examples.dart", "Dart", 618, 0, 0, 26, 50, 694
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\location_manager.dart", "Dart", 524, 0, 0, 38, 92, 654
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\marker_manager.dart", "Dart", 463, 0, 0, 49, 76, 588
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\route_manager.dart", "Dart", 451, 0, 0, 53, 81, 585
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\map_math.dart", "Dart", 34, 0, 0, 0, 5, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\marker_icon_loader.dart", "Dart", 50, 0, 0, 5, 5, 60
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_marker.dart", "Dart", 163, 0, 0, 13, 20, 196
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_point.dart", "Dart", 109, 0, 0, 15, 19, 143
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_route.dart", "Dart", 150, 0, 0, 12, 23, 185
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_settings.dart", "Dart", 236, 0, 0, 10, 14, 260
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\map_cache_service.dart", "Dart", 587, 0, 0, 49, 105, 741
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\map_service.dart", "Dart", 1542, 0, 0, 167, 215, 1924
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\route_service.dart", "Dart", 346, 0, 0, 50, 81, 477
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\utils\marker_rotation_utils.dart", "Dart", 171, 0, 0, 81, 37, 289
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\widgets\map_widget.dart", "Dart", 696, 0, 0, 72, 76, 844
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\api_service.dart", "Dart", 55, 0, 0, 57, 12, 124
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\server_service.dart", "Dart", 42, 0, 0, 3, 12, 57
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\providers\locale_provider.dart", "Dart", 46, 0, 0, 9, 11, 66
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\router\app_router.dart", "Dart", 148, 0, 0, 1, 2, 151
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_database_service.dart", "Dart", 5373, 0, 0, 410, 658, 6441
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_exceptions.dart", "Dart", 37, 0, 0, 1, 12, 50
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_key_service.dart", "Dart", 165, 0, 0, 19, 37, 221
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\daily_report_template.dart", "Dart", 78, 0, 0, 2, 10, 90
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\data_sync_service.dart", "Dart", 1610, 0, 0, 217, 287, 2114
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\location_service.dart", "Dart", 222, 0, 0, 29, 40, 291
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\permission_manager.dart", "Dart", 565, 0, 0, 46, 48, 659
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\permissions_service.dart", "Dart", 102, 0, 0, 9, 15, 126
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\report_data_service.dart", "Dart", 138, 0, 0, 21, 30, 189
