"filename", "language", "Dart", "JSON", "YAML", "Markdown", "comment", "blank", "total"
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_en.arb", "JSON", 0, 2544, 0, 0, 0, 18, 2562
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations.dart", "Dart", 1361, 0, 0, 0, 5304, 1328, 7993
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_en.dart", "Dart", 2873, 0, 0, 0, 3, 1313, 4189
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_ru.dart", "Dart", 2873, 0, 0, 0, 3, 1313, 4189
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_localizations_uz.dart", "Dart", 2873, 0, 0, 0, 3, 1313, 4189
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_ru.arb", "JSON", 0, 2502, 0, 0, 0, 18, 2520
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\l10n\app_uz.arb", "JSON", 0, 2518, 0, 0, 0, 4, 2522
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\main.dart", "Dart", 223, 0, 0, 0, 45, 40, 308
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\Utility\formatter.dart", "Dart", 72, 0, 0, 0, 7, 9, 88
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\database\database_helper.dart", "Dart", 234, 0, 0, 0, 18, 30, 282
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\README.md", "Markdown", 0, 0, 0, 414, 1, 86, 501
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\controllers\unified_map_controller.dart", "Dart", 390, 0, 0, 0, 94, 64, 548
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\examples\map_examples.dart", "Dart", 682, 0, 0, 0, 26, 54, 762
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\location_manager.dart", "Dart", 524, 0, 0, 0, 38, 92, 654
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\marker_manager.dart", "Dart", 463, 0, 0, 0, 49, 76, 588
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\managers\route_manager.dart", "Dart", 451, 0, 0, 0, 53, 81, 585
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\map_math.dart", "Dart", 34, 0, 0, 0, 0, 5, 39
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\marker_icon_loader.dart", "Dart", 50, 0, 0, 0, 5, 5, 60
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_marker.dart", "Dart", 163, 0, 0, 0, 13, 20, 196
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_point.dart", "Dart", 109, 0, 0, 0, 15, 19, 143
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_route.dart", "Dart", 150, 0, 0, 0, 12, 23, 185
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\models\map_settings.dart", "Dart", 236, 0, 0, 0, 10, 14, 260
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\map_cache_service.dart", "Dart", 587, 0, 0, 0, 49, 105, 741
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\map_service.dart", "Dart", 1542, 0, 0, 0, 167, 215, 1924
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\services\route_service.dart", "Dart", 346, 0, 0, 0, 50, 81, 477
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\utils\marker_rotation_utils.dart", "Dart", 171, 0, 0, 0, 81, 37, 289
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\maps\widgets\map_widget.dart", "Dart", 696, 0, 0, 0, 72, 76, 844
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\access_check_result.dart", "Dart", 129, 0, 0, 0, 45, 31, 205
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\data_sync_group.dart", "Dart", 44, 0, 0, 0, 30, 17, 91
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\data_sync_table.dart", "Dart", 50, 0, 0, 0, 44, 20, 114
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\device_startup_info.dart", "Dart", 75, 0, 0, 0, 20, 16, 111
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\faktura_company_details.dart", "Dart", 168, 0, 0, 0, 5, 16, 189
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\sync_progress.dart", "Dart", 111, 0, 0, 0, 48, 23, 182
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\models\sync_table_metadata.dart", "Dart", 96, 0, 0, 0, 41, 23, 160
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\api_service.dart", "Dart", 55, 0, 0, 0, 57, 12, 124
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\network\server_service.dart", "Dart", 42, 0, 0, 0, 3, 12, 57
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\providers\locale_provider.dart", "Dart", 47, 0, 0, 0, 9, 11, 67
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\router\app_router.dart", "Dart", 169, 0, 0, 0, 1, 3, 173
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\address_resolver_service.dart", "Dart", 343, 0, 0, 0, 34, 68, 445
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_database_service.dart", "Dart", 6257, 0, 0, 0, 537, 748, 7542
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_exceptions.dart", "Dart", 51, 0, 0, 0, 1, 17, 69
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\api_key_service.dart", "Dart", 164, 0, 0, 0, 20, 37, 221
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\background_location\background_location.dart", "Dart", 3, 0, 0, 0, 15, 4, 22
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\background_location\background_location_tracking_service.dart", "Dart", 574, 0, 0, 0, 202, 147, 923
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\background_location\helpers\device_data_collector.dart", "Dart", 478, 0, 0, 0, 195, 85, 758
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\background_location\models\agent_location_record.dart", "Dart", 454, 0, 0, 0, 250, 110, 814
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\client_balance_service.dart", "Dart", 338, 0, 0, 0, 98, 66, 502
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\daily_report_template.dart", "Dart", 78, 0, 0, 0, 2, 10, 90
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\data_sync_config.dart", "Dart", 659, 0, 0, 0, 35, 88, 782
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\data_sync_orchestrator.dart", "Dart", 346, 0, 0, 0, 132, 73, 551
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\data_sync_service.dart", "Dart", 1785, 0, 0, 0, 251, 324, 2360
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\faktura_auth_service.dart", "Dart", 142, 0, 0, 0, 14, 22, 178
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\faktura_company_service.dart", "Dart", 90, 0, 0, 0, 7, 17, 114
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\local_uuid_service.dart", "Dart", 53, 0, 0, 0, 30, 13, 96
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\location_service.dart", "Dart", 239, 0, 0, 0, 31, 42, 312
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\permission_manager.dart", "Dart", 566, 0, 0, 0, 46, 48, 660
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\permissions_service.dart", "Dart", 102, 0, 0, 0, 9, 15, 126
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\report_data_service.dart", "Dart", 138, 0, 0, 0, 21, 30, 189
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\reports_sync_service.dart", "Dart", 339, 0, 0, 0, 31, 57, 427
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\rest_api_database_service.dart", "Dart", 41, 0, 0, 0, 0, 7, 48
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\rest_api_service.dart", "Dart", 510, 0, 0, 0, 99, 71, 680
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\service_locator.dart", "Dart", 216, 0, 0, 0, 71, 17, 304
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\shared_preferences_service.dart", "Dart", 289, 0, 0, 0, 44, 60, 393
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\soap_api_service.dart", "Dart", 2073, 0, 0, 0, 120, 230, 2423
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\startup_access_service.dart", "Dart", 141, 0, 0, 0, 39, 27, 207
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\sync_notification_service.dart", "Dart", 27, 0, 0, 0, 7, 7, 41
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\telegram_bot_service.dart", "Dart", 67, 0, 0, 0, 17, 17, 101
"c:\Users\Kamoliddin\Documents\GitHub\clone-gg-app\lib\src\core\services\telegram_token_service.dart", "Dart", 61, 0, 0, 0, 6, 10, 77
